Finished block size,Square,"40"" strip yields",# of strips/yard,HST (square),"40"" strip yields",# of strips/yard
2,2.5,16,14,2.875,13,12
2.5,3,13,12,3.375,11,10
3,3.5,11,10,3.875,10,9
3.5,4,10,9,4.375,9,8
4,4.5,8,8,4.875,8,7
4.5,5,8,7,5.375,7,6
5,5.5,7,6,5.875,6,6
5.5,6,6,6,6.375,6,5
6,6.5,6,5,6.875,5,5
6.5,7,5,5,7.375,5,4
7,7.5,5,4,7.875,5,4
7.5,8,5,4,8.375,4,4
8,8.5,4,4,8.875,4,4
8.5,9,4,4,9.375,4,3
9,9.5,4,3,9.875,4,3
9.5,10,4,3,10.375,3,3
10,10.5,3,3,10.875,3,3
10.5,11,3,3,11.375,3,3
11,11.5,3,3,11.875,3,3
11.5,12,3,3,12.375,3,2
12,12.5,3,2,12.875,3,2
